"Common name","Binomial","Notes"
"Southern Cassowary","Casuarius casuarius",""
"Emu","Dromaius novaehollandiae",""
"King Island Emu","Dromaius ater","extinct"
"Kangaroo Island Emu","Dromaius baudinianus","extinct"
"Australian Brush-turkey","Alectura lathami",""
"Malleefowl","Leipoa ocellata",""
"Orange-footed Scrubfowl","Megapodius reinwardt",""
"Stubble Quail","Coturnix pectoralis",""
"Brown Quail","Coturnix ypsilophora",""
"King Quail","Excalfactoria chinensis",""
"Indian Peafowl","Pavo cristatus","introduced"
"Red Junglefowl","Gallus gallus","introduced"
"Green Junglefowl","Gallus varius","introduced, Cocos (Keeling) Islands"
"Common Pheasant","Phasianus colchicus","introduced"
"Wild Turkey","Meleagris gallopavo","introduced"
"Helmeted Guineafowl","Numida meleagris","introduced"
"Magpie Goose","Anseranas semipalmata",""
"Spotted Whistling-Duck","Dendrocygna guttata",""
"Plumed Whistling-Duck","Dendrocygna eytoni",""
"Wandering Whistling-Duck","Dendrocygna arcuata",""
"Musk Duck","Biziura lobata",""
"Freckled Duck","Stictonetta naevosa",""
"Cape Barren Goose","Cereopsis novaehollandiae",""
"Black Swan","Cygnus atratus",""
"Mute Swan","Cygnus olor","introduced"
"Canada Goose","Branta canadensis","vagrant, introduced"
"Radjah Shelduck","Tadorna radjah",""
"Australian Shelduck","Tadorna tadornoides",""
"Paradise Shelduck","Tadorna variegata","vagrant, Lord Howe Island"
"Australian Wood Duck","Chenonetta jubata",""
"Pink-eared Duck","Malacorhynchus membranaceus",""
"Cotton Pygmy-goose","Nettapus coromandelianus",""
"Green Pygmy-goose","Nettapus pulchellus",""
"Garganey","Anas querquedula",""
"Australasian Shoveler","Anas rhynchotis",""
"Northern Shoveler","Anas clypeata","vagrant"
"Grey Teal","Anas gracilis","'"
"Chestnut Teal","Anas castanea",""
"Northern Pintail","Anas acuta","vagrant"
"Northern Mallard","Anas platyrhynchos","introduced"
"Pacific Black Duck","Anas superciliosa",""
"Hardhead","Aythya australis",""
"Blue-billed Duck","Oxyura australis",""
